Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
9786707.0	1078.5	526.6	1062.6	530.7	1905.0	2183.0
9786708.0	1078.8	526.3	1062.0	526.9	1914.0	2188.0
9786709.0	1078.6	527.1	1063.8	528.1	1911.0	2182.0
9786710.0	1080.3	529.6	1058.8	528.1	1913.0	2183.0
9786711.0	1079.8	528.7	1058.0	529.7	1903.0	2179.0
9786712.0	1077.9	526.4	1061.2	527.4	1908.0	2191.0
9786713.0	1080.2	528.0	1059.4	530.4	1906.0	2180.0
9786714.0	1079.5	528.8	1057.3	529.9	1906.0	2177.0
9786715.0	1079.9	527.9	1059.9	528.2	1905.0	2177.0
9786716.0	1079.8	527.4	1059.8	528.4	1909.0	2188.0
9786717.0	1078.2	528.0	1057.5	530.0	1904.0	2182.0
9786718.0	1079.5	527.9	1057.3	531.1	1906.0	2181.0
9786719.0	1078.3	527.5	1059.8	527.9	1910.0	2184.0
9786720.0	1078.1	528.2	1064.1	528.1	1905.0	2186.0
9786721.0	1079.9	528.4	1060.1	528.0	1900.0	2187.0
9786722.0	1080.2	530.5	1058.7	531.6	1911.0	2189.0
9786723.0	1080.9	527.9	1058.5	529.4	1904.0	2179.0
9786724.0	1078.8	529.4	1056.8	531.7	1898.0	2180.0
9786725.0	1079.3	530.0	1058.3	535.1	1900.0	2179.0
9786726.0	1080.7	530.5	1055.1	529.1	1895.0	2191.0
9786727.0	1081.7	527.1	1060.4	531.3	1905.0	2191.0
9786728.0	1079.4	529.2	1060.9	529.2	1903.0	2194.0
9786729.0	1081.3	529.6	1059.5	530.7	1908.0	2192.0
9786730.0	1080.3	529.6	1063.7	531.1	1909.0	2193.0
9786731.0	1079.3	528.6	1063.7	530.0	1915.0	2200.0
9786732.0	1082.6	531.5	1056.4	529.5	1908.0	2188.0
9786733.0	1081.0	526.0	1058.7	531.1	1914.0	2196.0
9786734.0	1079.8	528.8	1066.4	530.3	1910.0	2199.0
9786735.0	1080.8	531.0	1058.5	530.4	1900.0	2187.0
9786736.0	1080.2	529.8	1059.8	529.2	1902.0	2193.0
9786737.0	1079.0	529.6	1066.5	532.6	1907.0	2193.0
9786738.0	1081.6	530.5	1061.4	529.3	1908.0	2183.0
9786739.0	1082.1	529.2	1060.2	530.3	1903.0	2189.0
9786740.0	1080.2	527.6	1060.6	528.5	1915.0	2189.0
9786741.0	1081.2	528.8	1059.7	527.5	1914.0	2186.0
9786742.0	1079.7	528.6	1060.1	528.5	1914.0	2190.0
9786743.0	1079.7	529.6	1059.2	528.6	1914.0	2196.0
9786744.0	1080.4	528.8	1065.3	530.1	1909.0	2200.0
9786745.0	1080.5	529.5	1060.1	533.7	1908.0	2177.0
9786746.0	1081.2	528.8	1065.2	529.3	1910.0	2194.0
9786747.0	1078.7	528.0	1061.4	528.4	1916.0	2196.0
9786748.0	1081.7	529.2	1063.1	528.5	1906.0	2195.0
9786749.0	1082.3	530.0	1063.2	528.0	1906.0	2195.0
9786750.0	1082.7	526.9	1060.5	529.6	1912.0	2190.0
9786751.0	1082.2	528.1	1061.1	527.6	1907.0	2184.0
9786752.0	1082.1	530.9	1058.5	528.8	1902.0	2179.0
9786753.0	1081.6	527.0	1065.1	528.1	1908.0	2191.0
9786754.0	1080.1	529.4	1061.3	528.9	1908.0	2191.0
9786755.0	1080.2	528.2	1062.3	529.2	1906.0	2185.0
9786756.0	1080.7	528.4	1063.4	526.3	1909.0	2196.0
9786757.0	1080.9	529.4	1062.8	525.7	1913.0	2188.0
9786758.0	1080.6	529.5	1063.6	529.3	1909.0	2196.0
9786759.0	1078.0	529.9	1061.5	524.0	1909.0	2195.0
9786760.0	1081.4	529.4	1065.0	528.2	1908.0	2193.0
9786761.0	1079.6	529.5	1063.9	527.6	1910.0	2201.0
9786762.0	1080.9	527.9	1065.6	528.1	1913.0	2201.0
9786763.0	1081.7	528.6	1065.2	527.4	1913.0	2196.0
9786764.0	1078.1	528.3	1062.7	525.8	1924.0	2190.0
9786765.0	1082.1	526.7	1061.9	527.9	1916.0	2188.0
9786766.0	1080.0	527.1	1065.9	527.2	1913.0	2193.0
